Gene	Cytoband	(A) FLT3 mutation	(B) FLT3 non mutation	(A) FLT3 mutation	(B) FLT3 non mutation	Log Ratio	p-Value	q-Value	Higher expression in
MAP3K21	1q42.2	0.96	1.09	0.57	0.69	-0.13	0.220	0.434	(B) FLT3 non mutation
MRGPRX3	11p15.1	0.00	0.01	0.01	0.03	-0.00	0.220	0.435	(B) FLT3 non mutation
OR5B12	11q12.1	0.04	0.02	0.06	0.05	0.01	0.220	0.435	(A) FLT3 mutation
SAA3P	11p15.1	0.00	0.00	0.00	0.01	-0.00	0.220	0.435	(B) FLT3 non mutation
REC8	14q12	3.83	4.00	0.83	0.79	-0.17	0.220	0.435	(B) FLT3 non mutation
R3HCC1	8p21.3	3.28	3.35	0.29	0.35	-0.06	0.220	0.435	(B) FLT3 non mutation
OR52B4	11p15.4	0.02	0.02	0.04	0.05	-0.01	0.220	0.435	(B) FLT3 non mutation
LINC03042		0.00	0.01	0.01	0.02	-0.00	0.220	0.435	(B) FLT3 non mutation
PPP1R15A	19q13.2	6.38	6.53	0.70	0.72	-0.15	0.220	0.435	(B) FLT3 non mutation
DIPK1C	18q22.3	0.11	0.21	0.35	0.63	-0.09	0.220	0.435	(B) FLT3 non mutation
SOSTDC1	7p21.2	0.26	0.42	0.71	0.82	-0.15	0.220	0.435	(B) FLT3 non mutation
ARHGEF17	11q13.4	2.86	3.09	1.06	1.25	-0.23	0.220	0.436	(B) FLT3 non mutation
MEGF10	5q23.2	0.35	0.49	0.64	0.66	-0.14	0.220	0.436	(B) FLT3 non mutation
NTNG1	1p13.3	0.09	0.15	0.19	0.42	-0.06	0.220	0.436	(B) FLT3 non mutation
NPC2	14q24.3	6.36	6.51	0.74	0.74	-0.15	0.221	0.436	(B) FLT3 non mutation
TMEM203	9q34.3	3.96	3.90	0.32	0.31	0.07	0.221	0.436	(A) FLT3 mutation
SLFNL1	1p34.2	2.01	2.13	0.55	0.61	-0.12	0.221	0.436	(B) FLT3 non mutation
DHRS12	13q14.3	2.52	2.44	0.31	0.50	0.08	0.221	0.436	(A) FLT3 mutation
ARHGEF26	3q25.2	0.31	0.37	0.23	0.36	-0.06	0.221	0.436	(B) FLT3 non mutation
SIGLECL1	19q13.41	0.18	0.13	0.23	0.16	0.04	0.221	0.436	(A) FLT3 mutation
HIPK2	7q34	3.88	3.71	0.85	0.73	0.17	0.221	0.436	(A) FLT3 mutation
HSD11B1L	19p13.3	1.00	0.92	0.39	0.41	0.08	0.221	0.436	(A) FLT3 mutation
HNF4A	20q13.12	0.01	0.03	0.04	0.08	-0.01	0.221	0.436	(B) FLT3 non mutation
CPPED1	16p13.12	4.04	3.89	0.70	0.85	0.16	0.221	0.436	(A) FLT3 mutation
SLC25A10	17q25.3	2.92	2.79	0.60	0.75	0.14	0.221	0.436	(A) FLT3 mutation
SUMO3	21q22.3	5.85	5.93	0.30	0.49	-0.08	0.221	0.436	(B) FLT3 non mutation
TYW1B	7q11.22-q11.23	1.91	1.82	0.44	0.41	0.09	0.221	0.436	(A) FLT3 mutation
PDXDC1	16p13.11	4.37	4.31	0.27	0.29	0.06	0.221	0.436	(A) FLT3 mutation
TREH	11q23.3	0.03	0.04	0.05	0.11	-0.02	0.221	0.436	(B) FLT3 non mutation
ADCY10	1q24.2	0.18	0.22	0.12	0.28	-0.04	0.221	0.437	(B) FLT3 non mutation
LRBA	4q31.3	3.55	3.72	0.80	0.95	-0.18	0.221	0.437	(B) FLT3 non mutation
C3ORF14	3p14.2	0.28	0.45	0.80	0.85	-0.17	0.221	0.437	(B) FLT3 non mutation
RPRD1A	18q12.2	4.13	4.05	0.41	0.39	0.08	0.222	0.437	(A) FLT3 mutation
CHCHD3	7q32.3-q33	4.14	4.05	0.41	0.43	0.09	0.222	0.437	(A) FLT3 mutation
CA3	8q21.2	0.62	0.73	0.43	0.68	-0.11	0.222	0.437	(B) FLT3 non mutation
PPP2R1B	11q23.1	3.28	3.19	0.42	0.45	0.09	0.222	0.437	(A) FLT3 mutation
DVL2	17p13.1	3.65	3.56	0.38	0.47	0.09	0.222	0.437	(A) FLT3 mutation
NBR1	17q21.31	3.93	3.83	0.45	0.51	0.10	0.222	0.437	(A) FLT3 mutation
KLHDC7B	22q13.33	1.49	1.64	0.73	0.80	-0.16	0.222	0.437	(B) FLT3 non mutation
ZNF669	1q44	2.51	2.59	0.35	0.42	-0.08	0.222	0.437	(B) FLT3 non mutation
KREMEN2	16p13.3	0.71	0.78	0.32	0.38	-0.07	0.222	0.437	(B) FLT3 non mutation
SV2A	1q21.2	3.22	2.97	1.13	1.30	0.25	0.222	0.437	(A) FLT3 mutation
RBMX2	Xq26.1	3.88	3.78	0.49	0.41	0.10	0.222	0.437	(A) FLT3 mutation
GADL1	3p24.1-p23	0.01	0.03	0.05	0.06	-0.01	0.222	0.437	(B) FLT3 non mutation
SDF4	1p36.33	4.48	4.40	0.32	0.45	0.08	0.222	0.438	(A) FLT3 mutation
FAM218A	4q32.3	0.12	0.18	0.26	0.26	-0.05	0.222	0.438	(B) FLT3 non mutation
ALOX15	17p13.2	0.20	0.25	0.25	0.31	-0.05	0.222	0.438	(B) FLT3 non mutation
H4C9	6p22.1	1.71	1.50	0.97	1.08	0.21	0.222	0.438	(A) FLT3 mutation
ZKSCAN3	6p22.1	2.76	2.63	0.64	0.57	0.13	0.222	0.438	(A) FLT3 mutation
MPLKIP	7p14.1	4.36	4.27	0.44	0.51	0.10	0.222	0.438	(A) FLT3 mutation
TMEM220	17p13.1	3.21	3.07	0.63	0.69	0.13	0.222	0.438	(A) FLT3 mutation
QRSL1	6q21	2.93	2.86	0.32	0.33	0.07	0.223	0.438	(A) FLT3 mutation
SPHKAP	2q36.3	0.00	0.00	0.00	0.00	-0.00	0.223	0.438	(B) FLT3 non mutation
VARS1	6p21.33	4.77	4.67	0.46	0.52	0.10	0.223	0.438	(A) FLT3 mutation
SORBS3	8p21.3	2.96	3.16	0.83	1.19	-0.20	0.223	0.438	(B) FLT3 non mutation
POU2F3	11q23.3	0.05	0.08	0.08	0.20	-0.03	0.223	0.439	(B) FLT3 non mutation
NOMO3	16p13.11	1.33	1.24	0.45	0.42	0.09	0.223	0.439	(A) FLT3 mutation
TTC31	2p13.1	4.10	4.04	0.26	0.32	0.06	0.223	0.439	(A) FLT3 mutation
TNFSF13B	13q33.3	5.34	5.14	0.92	1.02	0.20	0.223	0.439	(A) FLT3 mutation
SUN2	22q13.1	6.26	6.36	0.45	0.58	-0.10	0.223	0.439	(B) FLT3 non mutation
SDK1	7p22.2	0.10	0.18	0.40	0.28	-0.08	0.223	0.439	(B) FLT3 non mutation
MAP3K13	3q27.2	1.04	1.11	0.31	0.40	-0.07	0.223	0.439	(B) FLT3 non mutation
CD209	19p13.2	0.31	0.41	0.44	0.59	-0.10	0.223	0.439	(B) FLT3 non mutation
ARHGEF11	1q23.1	2.51	2.79	1.29	1.36	-0.27	0.223	0.439	(B) FLT3 non mutation
RUNX1T1	8q21.3	0.15	0.34	0.79	1.21	-0.19	0.224	0.439	(B) FLT3 non mutation
CD40	20q13.12	1.32	1.48	0.74	0.77	-0.16	0.224	0.439	(B) FLT3 non mutation
C11ORF24	11q13.2	3.42	3.54	0.59	0.51	-0.12	0.224	0.439	(B) FLT3 non mutation
HYAL4	7q31.32	0.00	0.02	0.01	0.18	-0.02	0.224	0.439	(B) FLT3 non mutation
AQP3	9p13.3	2.52	2.27	1.27	1.00	0.25	0.224	0.439	(A) FLT3 mutation
ZNF404	19q13.31	1.72	1.89	0.82	0.82	-0.17	0.224	0.439	(B) FLT3 non mutation
REV1	2q11.2	4.24	4.18	0.34	0.31	0.07	0.224	0.439	(A) FLT3 mutation
COX19	7p22.3	3.28	3.36	0.33	0.43	-0.07	0.224	0.439	(B) FLT3 non mutation
GBA1		4.49	4.40	0.39	0.51	0.09	0.224	0.439	(A) FLT3 mutation
NDST4	4q26	0.00	0.03	0.01	0.22	-0.02	0.224	0.439	(B) FLT3 non mutation
ZDHHC9	Xq26.1	3.52	3.39	0.57	0.72	0.13	0.224	0.440	(A) FLT3 mutation
ZNF563	19p13.2	1.26	1.16	0.44	0.51	0.10	0.224	0.440	(A) FLT3 mutation
NSG2	5q35.2	0.03	0.04	0.08	0.09	-0.02	0.224	0.440	(B) FLT3 non mutation
CYP4F8	19p13.12	0.00	0.00	0.00	0.01	-0.00	0.224	0.440	(B) FLT3 non mutation
AUP1	2p13.1	6.04	5.96	0.37	0.40	0.08	0.224	0.440	(A) FLT3 mutation
DLAT	11q23.1	3.69	3.61	0.43	0.41	0.09	0.224	0.440	(A) FLT3 mutation
ERMAP	1p34.2	3.38	3.48	0.38	0.63	-0.10	0.224	0.440	(B) FLT3 non mutation
SOCS6	18q22.2	2.21	2.11	0.42	0.60	0.10	0.224	0.440	(A) FLT3 mutation
CHD7	8q12.2	2.01	2.20	0.83	1.04	-0.19	0.224	0.440	(B) FLT3 non mutation
ZNF235	19q13.2	2.36	2.45	0.41	0.47	-0.09	0.224	0.440	(B) FLT3 non mutation
RAB6B	3q22.1	1.28	1.43	0.66	0.84	-0.15	0.224	0.440	(B) FLT3 non mutation
PPM1L	3q25.33-q26.1	2.12	2.00	0.55	0.59	0.12	0.224	0.440	(A) FLT3 mutation
EIF4E3	3p13	3.86	3.63	1.10	1.22	0.24	0.224	0.440	(A) FLT3 mutation
LRRC40	1p31.1	3.65	3.57	0.38	0.42	0.08	0.225	0.440	(A) FLT3 mutation
CASC8	8q24.21	0.04	0.07	0.11	0.16	-0.03	0.225	0.440	(B) FLT3 non mutation
ASH1L	1q22	4.76	4.86	0.48	0.51	-0.10	0.225	0.440	(B) FLT3 non mutation
FAM89B	11q13.1	4.61	4.73	0.59	0.59	-0.12	0.225	0.440	(B) FLT3 non mutation
PCDHGC4	5q31.3	1.96	2.17	0.97	1.03	-0.21	0.225	0.440	(B) FLT3 non mutation
STK31	7p15.3	0.09	0.12	0.13	0.13	-0.03	0.225	0.440	(B) FLT3 non mutation
BCL10	1p22.3	2.79	2.71	0.37	0.43	0.08	0.225	0.440	(A) FLT3 mutation
NR1H2	19q13.3	4.67	4.76	0.42	0.44	-0.09	0.225	0.440	(B) FLT3 non mutation
ASB17	1p31.1	0.00	0.01	0.02	0.04	-0.00	0.225	0.440	(B) FLT3 non mutation
USP3	15q22.31	4.59	4.73	0.70	0.58	-0.14	0.225	0.440	(B) FLT3 non mutation
RGSL1	1q25.3	0.02	0.02	0.02	0.02	-0.00	0.225	0.440	(B) FLT3 non mutation
NDUFS4	5q11.2	5.17	5.08	0.36	0.53	0.09	0.225	0.440	(A) FLT3 mutation
TRIM73	7q11.23	0.48	0.53	0.25	0.32	-0.06	0.225	0.440	(B) FLT3 non mutation
SRARP	1p36.13	0.00	0.01	0.01	0.07	-0.01	0.225	0.440	(B) FLT3 non mutation
EZH2	7q36.1	4.54	4.43	0.57	0.55	0.12	0.225	0.440	(A) FLT3 mutation
YJEFN3	19p13.11	2.62	2.73	0.49	0.61	-0.11	0.225	0.440	(B) FLT3 non mutation
ABCD3	1p21.3	3.20	3.30	0.44	0.53	-0.10	0.225	0.441	(B) FLT3 non mutation
ARF6	14q21.3	5.19	5.11	0.38	0.39	0.08	0.225	0.441	(A) FLT3 mutation
CFAP97	4q35.1	3.22	3.08	0.68	0.75	0.14	0.225	0.441	(A) FLT3 mutation
TSC2	16p13.3	4.62	4.54	0.37	0.42	0.08	0.225	0.441	(A) FLT3 mutation
RHD	1p36.11	1.28	1.46	0.80	1.01	-0.18	0.225	0.441	(B) FLT3 non mutation
CACNG6	19q13.42	0.04	0.06	0.08	0.17	-0.02	0.226	0.441	(B) FLT3 non mutation
CPLANE1	5p13.2	3.02	2.89	0.64	0.62	0.13	0.226	0.441	(A) FLT3 mutation
CRIP3	6p21.1	0.77	0.91	0.62	0.75	-0.14	0.226	0.441	(B) FLT3 non mutation
SPDYC	11q13.1	0.30	0.35	0.19	0.41	-0.06	0.226	0.441	(B) FLT3 non mutation
MYDGF	19p13.3	5.53	5.64	0.48	0.63	-0.11	0.226	0.441	(B) FLT3 non mutation
BEAN1	16q21	0.42	0.47	0.26	0.30	-0.06	0.226	0.442	(B) FLT3 non mutation
USP45	6q16.2	2.29	2.14	0.75	0.62	0.15	0.226	0.442	(A) FLT3 mutation
SCARNA10	12p13.31	2.10	2.34	1.10	1.23	-0.24	0.226	0.442	(B) FLT3 non mutation
SOX10	22q13.1	0.50	0.56	0.28	0.31	-0.06	0.226	0.442	(B) FLT3 non mutation
PEX26	22q11.21	4.12	4.05	0.30	0.40	0.07	0.226	0.442	(A) FLT3 mutation
MUL1	1p36.12	3.42	3.36	0.29	0.29	0.06	0.226	0.442	(A) FLT3 mutation
FANCD2	3p25.3	3.33	3.22	0.56	0.54	0.11	0.226	0.442	(A) FLT3 mutation
COCH	14q12	3.01	2.77	1.22	1.13	0.25	0.226	0.442	(A) FLT3 mutation
WASHC2A	10q11.23	1.05	0.98	0.34	0.26	0.07	0.226	0.442	(A) FLT3 mutation
TSPAN17	5q35.2	3.12	3.23	0.47	0.74	-0.11	0.226	0.442	(B) FLT3 non mutation
SP4	7p15.3	2.61	2.72	0.48	0.57	-0.10	0.227	0.442	(B) FLT3 non mutation
SLC25A30	13q14.13	2.79	2.89	0.44	0.57	-0.10	0.227	0.442	(B) FLT3 non mutation
TEX26	13q12.3	0.00	0.00	0.00	0.01	-0.00	0.227	0.443	(B) FLT3 non mutation
WNT8A	5q31.2	0.03	0.05	0.06	0.08	-0.01	0.227	0.443	(B) FLT3 non mutation
RIOK1	6p24.3	4.10	4.03	0.35	0.37	0.07	0.227	0.443	(A) FLT3 mutation
USP32P2	17p11.2	1.48	1.23	1.23	1.17	0.25	0.227	0.443	(A) FLT3 mutation
PRR5L	11p13-p12	2.53	2.77	1.09	1.24	-0.23	0.227	0.443	(B) FLT3 non mutation
PA2G4	12q13.2	5.96	5.88	0.39	0.39	0.08	0.227	0.443	(A) FLT3 mutation
KPTN	19q13.32	2.80	2.69	0.47	0.62	0.11	0.227	0.443	(A) FLT3 mutation
CSN1S1	4q13.3	0.48	0.35	0.63	0.53	0.12	0.227	0.443	(A) FLT3 mutation
MTRFR	12q24.31	2.61	2.53	0.42	0.41	0.09	0.227	0.443	(A) FLT3 mutation
CACNA1G	17q21.33	0.02	0.03	0.03	0.07	-0.01	0.227	0.443	(B) FLT3 non mutation
S100A8	1q21.3	7.36	8.01	3.31	2.84	-0.66	0.227	0.443	(B) FLT3 non mutation
HSPA5	9q33.3	6.99	6.85	0.68	0.68	0.14	0.227	0.443	(A) FLT3 mutation
SRGAP1	12q14.2	0.80	0.64	0.81	0.78	0.17	0.227	0.444	(A) FLT3 mutation
CYP2F1	19q13.2	0.11	0.14	0.13	0.17	-0.03	0.228	0.444	(B) FLT3 non mutation
CCP110	16p12.3	3.51	3.41	0.49	0.43	0.10	0.228	0.444	(A) FLT3 mutation
RNF168	3q29	4.05	4.13	0.36	0.49	-0.08	0.228	0.444	(B) FLT3 non mutation
DCLRE1C	10p13	4.17	4.09	0.33	0.42	0.07	0.228	0.444	(A) FLT3 mutation
OR1B1	9q33.2	0.07	0.09	0.10	0.14	-0.02	0.228	0.444	(B) FLT3 non mutation
MRPS18B	6p21.33	4.77	4.70	0.37	0.39	0.08	0.228	0.444	(A) FLT3 mutation
MEPE	4q22.1	0.00	0.00	0.01	0.01	-0.00	0.228	0.444	(B) FLT3 non mutation
CBY2	13q14.13	0.00	0.01	0.01	0.08	-0.01	0.228	0.444	(B) FLT3 non mutation
SLF1	5q15	2.54	2.45	0.39	0.47	0.09	0.228	0.444	(A) FLT3 mutation
DNAJC18	5q31.2	2.11	1.98	0.60	0.57	0.12	0.228	0.444	(A) FLT3 mutation
SMPD2	6q21	3.01	2.94	0.34	0.39	0.07	0.228	0.444	(A) FLT3 mutation
OR6B1	7q35	0.01	0.00	0.03	0.00	0.01	0.228	0.444	(A) FLT3 mutation
LRRC31	3q26.2	0.06	0.08	0.06	0.10	-0.02	0.228	0.445	(B) FLT3 non mutation
INHBA	7p14.1	0.59	0.77	0.84	1.01	-0.18	0.228	0.445	(B) FLT3 non mutation
CFAP107		0.00	0.01	0.01	0.03	-0.00	0.229	0.445	(B) FLT3 non mutation
SNORA59B	17p11.2	0.02	0.05	0.08	0.17	-0.02	0.229	0.445	(B) FLT3 non mutation
IZUMO4	19p13.3	1.40	1.29	0.51	0.49	0.10	0.229	0.445	(A) FLT3 mutation
HNRNPA3P1	10q11.21	0.08	0.10	0.07	0.12	-0.02	0.229	0.445	(B) FLT3 non mutation
MILIP		0.88	0.80	0.39	0.47	0.09	0.229	0.445	(A) FLT3 mutation
CDON	11q24.2	0.19	0.23	0.20	0.23	-0.04	0.229	0.445	(B) FLT3 non mutation
CKAP2L	2q14.1	2.59	2.76	0.84	0.79	-0.17	0.229	0.445	(B) FLT3 non mutation
EIF3J	15q21.1	5.30	5.22	0.43	0.38	0.09	0.229	0.445	(A) FLT3 mutation
ADCY6	12q13.12	2.09	2.32	1.14	1.19	-0.24	0.229	0.446	(B) FLT3 non mutation
DACT1	14q23.1	0.63	0.74	0.50	0.49	-0.10	0.229	0.446	(B) FLT3 non mutation
TIMM10	11q12.1	4.05	4.15	0.48	0.51	-0.10	0.229	0.446	(B) FLT3 non mutation
TMC6	17q25.3	4.71	4.85	0.70	0.66	-0.14	0.229	0.446	(B) FLT3 non mutation
TUBB1	20q13.32	2.06	2.26	0.91	1.14	-0.20	0.229	0.446	(B) FLT3 non mutation
HAUS3	4p16.3	3.16	3.05	0.50	0.51	0.10	0.229	0.446	(A) FLT3 mutation
BMP3	4q21.21	0.18	0.32	0.61	0.80	-0.14	0.229	0.446	(B) FLT3 non mutation
SPAG16	2q34	0.52	0.59	0.33	0.41	-0.07	0.229	0.446	(B) FLT3 non mutation
TPTE2P1	13q12.13	0.25	0.34	0.39	0.59	-0.09	0.230	0.446	(B) FLT3 non mutation
NBPF11	1q21.2	0.61	0.67	0.28	0.34	-0.06	0.230	0.446	(B) FLT3 non mutation
SNORD125	22q12.2	2.46	2.58	0.57	0.65	-0.12	0.230	0.446	(B) FLT3 non mutation
CYTH4	22q13.1	4.14	4.40	1.22	1.30	-0.26	0.230	0.446	(B) FLT3 non mutation
METTL25	12q21.31	2.25	2.30	0.23	0.32	-0.05	0.230	0.446	(B) FLT3 non mutation
NOX4	11q14.3	0.00	0.00	0.00	0.01	-0.00	0.230	0.446	(B) FLT3 non mutation
LHFPL7		0.03	0.05	0.08	0.11	-0.02	0.230	0.446	(B) FLT3 non mutation
RFX4	12q23.3	0.07	0.05	0.06	0.04	0.01	0.230	0.446	(A) FLT3 mutation
TMUB2	17q21.31	4.47	4.40	0.30	0.35	0.06	0.230	0.446	(A) FLT3 mutation
PCDHGB6	5q31	2.01	2.21	0.96	1.03	-0.20	0.230	0.446	(B) FLT3 non mutation
DCK	4q13.3	5.26	5.38	0.56	0.60	-0.12	0.230	0.447	(B) FLT3 non mutation
PRPF39	14q21.2	3.95	3.87	0.41	0.41	0.08	0.230	0.447	(A) FLT3 mutation
FBXW4	10q24.32	3.88	3.79	0.42	0.43	0.09	0.230	0.447	(A) FLT3 mutation
NOM1	7q36.3	3.15	3.07	0.41	0.38	0.08	0.230	0.447	(A) FLT3 mutation
SLC66A3	2p25.1	4.54	4.42	0.56	0.60	0.12	0.230	0.447	(A) FLT3 mutation
GOLT1B	12p12.1	3.91	3.84	0.31	0.41	0.07	0.230	0.447	(A) FLT3 mutation
ZNF843	16p11.2	0.45	0.41	0.23	0.23	0.05	0.230	0.447	(A) FLT3 mutation
LINC00608	2q35	0.00	0.01	0.01	0.03	-0.00	0.230	0.447	(B) FLT3 non mutation
SPHAR	1q42.13	3.63	3.53	0.48	0.48	0.10	0.231	0.447	(A) FLT3 mutation
TMEM150B	19q13.42	2.18	1.96	1.02	1.25	0.22	0.231	0.447	(A) FLT3 mutation
PTPRR	12q15	0.03	0.05	0.05	0.18	-0.02	0.231	0.447	(B) FLT3 non mutation
KANSL2	12q13.11	4.00	3.94	0.30	0.37	0.07	0.231	0.447	(A) FLT3 mutation
ALKAL1	8q11.23	0.02	0.04	0.06	0.12	-0.02	0.231	0.447	(B) FLT3 non mutation
DERL1	8q24.13	3.96	4.01	0.21	0.29	-0.05	0.231	0.448	(B) FLT3 non mutation
TNFRSF10A	8p21.3	2.81	2.70	0.46	0.72	0.11	0.231	0.448	(A) FLT3 mutation
SSR3	3q25.31	5.43	5.35	0.38	0.42	0.08	0.231	0.448	(A) FLT3 mutation
TSSC4	11p15.5	3.52	3.61	0.42	0.51	-0.09	0.231	0.448	(B) FLT3 non mutation
POMK	8p11.21	3.39	3.53	0.66	0.75	-0.14	0.231	0.448	(B) FLT3 non mutation
ELOVL2	6p24.2	0.17	0.25	0.38	0.41	-0.08	0.231	0.448	(B) FLT3 non mutation
CNOT4	7q33	3.36	3.30	0.29	0.37	0.06	0.231	0.448	(A) FLT3 mutation
KDF1	1p36.11	0.26	0.31	0.22	0.22	-0.05	0.231	0.448	(B) FLT3 non mutation
PPME1	11q13.4	4.13	4.06	0.37	0.43	0.08	0.231	0.448	(A) FLT3 mutation
TDRD6	6p12.3	0.06	0.09	0.13	0.14	-0.03	0.231	0.448	(B) FLT3 non mutation
TUT4	1p32.3	4.26	4.38	0.58	0.57	-0.12	0.231	0.448	(B) FLT3 non mutation
LINC02112	5p15.31-p15.2	0.00	0.00	0.00	0.01	-0.00	0.231	0.448	(B) FLT3 non mutation
TECTB	10q25.2	0.00	0.01	0.01	0.02	-0.00	0.231	0.448	(B) FLT3 non mutation
GK	Xp21.2	1.95	1.86	0.40	0.46	0.08	0.231	0.448	(A) FLT3 mutation
ZNF326	1p22.2	4.07	3.98	0.44	0.47	0.09	0.232	0.448	(A) FLT3 mutation
FPR3	19q13.41	0.64	0.78	0.63	0.76	-0.14	0.232	0.448	(B) FLT3 non mutation
PCDHGA9	5q31	1.98	2.18	0.97	1.03	-0.20	0.232	0.448	(B) FLT3 non mutation
PHB2	12p13.31	6.99	6.91	0.39	0.45	0.08	0.232	0.448	(A) FLT3 mutation
UPK3BL1	7q22.1	2.57	2.44	0.64	0.62	0.13	0.232	0.448	(A) FLT3 mutation
ABCD4	14q24.3	3.95	3.87	0.40	0.38	0.08	0.232	0.448	(A) FLT3 mutation
SLC9A4	2q12.1	0.00	0.00	0.00	0.00	-0.00	0.232	0.448	(B) FLT3 non mutation
RASL10B	17q12	0.46	0.37	0.45	0.40	0.09	0.232	0.448	(A) FLT3 mutation
UBE2E2	3p24.3	3.18	3.38	0.93	1.14	-0.20	0.232	0.448	(B) FLT3 non mutation
CCDC70	13q14.3	0.09	0.06	0.13	0.15	0.03	0.232	0.449	(A) FLT3 mutation
CATSPERE	1q44	0.96	0.89	0.32	0.32	0.07	0.232	0.449	(A) FLT3 mutation
TMEM116	12q24.13	1.32	1.39	0.29	0.35	-0.06	0.232	0.449	(B) FLT3 non mutation
TP63	3q28	0.41	0.31	0.49	0.51	0.10	0.232	0.449	(A) FLT3 mutation
CAMP	3p21.31	0.87	1.11	1.16	1.20	-0.24	0.232	0.449	(B) FLT3 non mutation
COA8	14q32.33	3.62	3.68	0.28	0.30	-0.06	0.232	0.449	(B) FLT3 non mutation
INTS15		4.50	4.44	0.27	0.42	0.06	0.232	0.449	(A) FLT3 mutation
CACNB2	10p12	1.29	1.39	0.46	0.56	-0.10	0.232	0.449	(B) FLT3 non mutation
HELZ	17q24.2	4.42	4.50	0.37	0.48	-0.08	0.232	0.449	(B) FLT3 non mutation
ASPSCR1	17q25.3	3.26	3.35	0.43	0.45	-0.09	0.232	0.449	(B) FLT3 non mutation
SNHG7	9q34.3	3.79	3.94	0.70	0.78	-0.15	0.232	0.449	(B) FLT3 non mutation
PI4KAP1	22q11.21	1.98	2.12	0.66	0.76	-0.14	0.232	0.449	(B) FLT3 non mutation
FASTKD5	20p13	4.00	3.94	0.29	0.38	0.06	0.232	0.449	(A) FLT3 mutation
NF2	22q12.2	3.35	3.41	0.32	0.28	-0.06	0.233	0.449	(B) FLT3 non mutation
SNORD32B	6p22.1	0.03	0.06	0.12	0.20	-0.03	0.233	0.449	(B) FLT3 non mutation
SNORD7	17q12	0.73	0.63	0.50	0.49	0.10	0.233	0.449	(A) FLT3 mutation
HOXC11	12q13.13	0.00	0.02	0.01	0.12	-0.01	0.233	0.449	(B) FLT3 non mutation
TAF3	10p14	3.85	3.93	0.44	0.38	-0.09	0.233	0.449	(B) FLT3 non mutation
ENO3	17p13.2	2.34	2.22	0.57	0.56	0.12	0.233	0.450	(A) FLT3 mutation
LIPE	19q13.2	1.64	1.75	0.49	0.54	-0.10	0.233	0.450	(B) FLT3 non mutation
C21ORF58	21q22.3	3.22	3.07	0.73	0.70	0.15	0.233	0.450	(A) FLT3 mutation
MAPK8IP3	16p13.3	4.93	5.07	0.69	0.68	-0.14	0.233	0.450	(B) FLT3 non mutation
CREB1	2q33.3	4.21	4.27	0.32	0.34	-0.07	0.233	0.450	(B) FLT3 non mutation
PAX8-AS1	2q14.1	1.52	1.83	1.54	1.53	-0.31	0.233	0.450	(B) FLT3 non mutation
BCL2	18q21.33	3.53	3.70	0.83	0.85	-0.17	0.233	0.450	(B) FLT3 non mutation
RAB6D	2q21.1	0.06	0.07	0.03	0.05	-0.01	0.233	0.450	(B) FLT3 non mutation
ZNF593	1p36.11	3.56	3.44	0.53	0.65	0.11	0.233	0.450	(A) FLT3 mutation
BCAT1	12p12.1	3.38	3.12	1.13	1.58	0.26	0.233	0.450	(A) FLT3 mutation
NHSL2	Xq13.1	2.49	2.74	1.18	1.19	-0.24	0.234	0.451	(B) FLT3 non mutation
MROH7	1p32.3	3.22	3.09	0.59	0.74	0.13	0.234	0.451	(A) FLT3 mutation
PCDHGB7	5q31.3	1.98	2.18	0.96	1.04	-0.20	0.234	0.451	(B) FLT3 non mutation
DHX38	16q22.2	4.57	4.51	0.25	0.34	0.06	0.234	0.451	(A) FLT3 mutation
ZNF398	7q35	3.15	3.08	0.33	0.35	0.07	0.234	0.451	(A) FLT3 mutation
ANTKMT	16p13.3	3.02	2.89	0.60	0.69	0.13	0.234	0.451	(A) FLT3 mutation
DMAC1	9p24.1	3.19	3.11	0.39	0.41	0.08	0.234	0.451	(A) FLT3 mutation
ITGAV	2q32.1	2.74	2.56	0.82	0.97	0.18	0.234	0.451	(A) FLT3 mutation
HGSNAT	8p11.21-p11.1	5.17	5.06	0.50	0.53	0.10	0.234	0.451	(A) FLT3 mutation
KLF5	13q22.1	0.97	0.82	0.73	0.66	0.15	0.234	0.451	(A) FLT3 mutation
PLA2G1B	12q24.31	0.26	0.31	0.25	0.33	-0.06	0.234	0.451	(B) FLT3 non mutation
FOXF2	6p25.3	0.04	0.14	0.27	0.83	-0.10	0.234	0.451	(B) FLT3 non mutation
SSU72	1p36.33	4.53	4.58	0.23	0.28	-0.05	0.234	0.452	(B) FLT3 non mutation
FXR2	17p13.1	3.78	3.72	0.22	0.43	0.06	0.234	0.452	(A) FLT3 mutation
EMD	Xq28	4.82	4.73	0.44	0.40	0.09	0.234	0.452	(A) FLT3 mutation
TMEM176B	7q36.1	2.07	2.49	2.14	1.72	-0.41	0.235	0.452	(B) FLT3 non mutation
PIGV	1p36.11	3.42	3.33	0.41	0.47	0.09	0.235	0.452	(A) FLT3 mutation
DNAAF6	Xq22.3	0.01	0.00	0.02	0.01	0.00	0.235	0.452	(A) FLT3 mutation
MRPS36	5q13.2	3.32	3.23	0.42	0.54	0.09	0.235	0.452	(A) FLT3 mutation
GNAS	20q13.32	6.86	6.79	0.33	0.35	0.07	0.235	0.452	(A) FLT3 mutation
REXO2	11q23.2	4.39	4.52	0.52	0.82	-0.13	0.235	0.452	(B) FLT3 non mutation
